username,password,email,introduce,mbti,image,updated_at,see,is_selected
유진박,dbwj1234,bagjiu@yuhanhoesa.net,Aut recusandae voluptatem doloremque perferendis magni culpa. Nostrum numquam ipsum earum ab inventore hic eum. Ex cupiditate consequatur recusandae.,INTJ,,2021-09-20 13:35:34,True,True
정식이,dbwj1234,seonghyeonbag@naver.com,"Modi ducimus voluptatum. Voluptatibus sequi aliquam omnis accusantium.
Rem consectetur occaecati tenetur velit vitae.",ESFJ,,2023-09-07 02:14:23,False,True
경수배,dbwj1234,sson@gimheogweon.com,Numquam soluta aliquam occaecati itaque possimus molestias. Earum at cumque porro quis.,INFJ,,2021-09-29 19:23:42,False,False
영희고,dbwj1234,seonghuni@ju.kr,"Nostrum suscipit enim recusandae blanditiis natus rerum. Facilis ipsum blanditiis dicta inventore id eveniet.
Inventore aspernatur quam hic accusamus. Vitae porro odit perferendis earum.",ESFJ,,2024-01-31 14:46:25,False,False
유진강,dbwj1234,yeongsigi@daum.net,"In qui enim distinctio sed. Velit nemo voluptate aspernatur.
Voluptas molestias laboriosam vero. Hic laudantium deserunt odio.
Molestiae voluptate ullam in fuga voluptates perferendis.",INFP,,2023-04-09 00:34:50,False,True
은지박,dbwj1234,qo@goseo.kr,Saepe nulla totam nostrum soluta. Similique deserunt aperiam odio.,ENFJ,,2022-08-03 13:47:13,True,False
진우고,dbwj1234,haeun69@gmail.com,Molestiae consequuntur veniam. Iure nam maxime asperiores quam fugiat deserunt. Nulla velit a. Iste cum ad porro mollitia deserunt sed illum.,INFJ,,2022-04-05 00:12:58,False,True
지아하,dbwj1234,gyeongjacoe@ju.net,"Amet est itaque voluptatum aliquam. Animi possimus non minus consequuntur expedita et.
Rem distinctio ut ipsa consequuntur magnam rerum. Sit architecto repellat dolor voluptate laboriosam eaque.",INFJ,,2022-05-24 14:35:18,False,False
영진박,dbwj1234,junho58@dreamwiz.com,Amet consectetur velit ex inventore. Velit magnam exercitationem natus sequi numquam accusantium. Vitae ullam laudantium voluptate corrupti tempore odit. Quis provident culpa repellat.,ENFP,,2020-08-03 16:38:05,False,True
예지황,dbwj1234,jyun@gimgim.com,"Itaque nisi reiciendis est ex. Qui excepturi aperiam facilis autem recusandae. Vel dolorem accusamus ullam.
Eligendi corrupti saepe culpa temporibus reprehenderit sed. Rerum unde dolorum iste.",ISTJ,,2022-10-06 10:16:49,False,True
진호김,dbwj1234,minjae10@hotmail.com,"Et soluta cupiditate facilis porro. Pariatur odio esse libero ducimus recusandae quod.
Ducimus vitae molestiae itaque laboriosam labore deserunt.",ENFP,,2023-09-08 18:48:53,True,True
지혜오,dbwj1234,baegsiu@naver.com,Ea aperiam dolorem doloremque nostrum facere possimus libero. Error esse natus distinctio alias. Dolor sunt inventore.,ENTP,,2023-11-05 15:36:12,True,True
정숙양,dbwj1234,migyeong78@dreamwiz.com,"Dolore explicabo aperiam quisquam commodi. Non doloribus dolore consequatur.
Eum aperiam sunt cum aliquam dicta. Dolorum quia at nulla eveniet. Optio quia iure.",ENTP,,2024-04-20 05:47:44,True,True
우진손,dbwj1234,gyeonghyi04@gimnogim.net,Reiciendis saepe aliquid incidunt corrupti accusantium recusandae. Soluta pariatur nam quae debitis necessitatibus minus aperiam.,,,2023-10-05 11:41:06,False,True
혜진김,dbwj1234,gimyeongceol@ju.com,"Minima rerum beatae voluptatem. Unde laudantium cumque tempore.
Ipsam sed officiis perferendis delectus accusamus.",ESFJ,,2022-06-08 17:43:08,True,True
예은강,dbwj1234,jiyeongim@dreamwiz.com,"Perferendis incidunt ipsum officia ab cupiditate. Velit aliquam assumenda totam.
Fugit facere libero.
Animi magnam cupiditate quasi. Natus aspernatur laboriosam voluptas libero tempora ut.",ENFP,,2021-02-21 23:34:41,False,True
성현김,dbwj1234,gimjeongsun@daum.net,Non illo accusamus officia. Laboriosam error quisquam ipsum id tempora dignissimos alias. Aut velit cumque maxime repellendus illo quam.,ENFP,,2024-03-12 05:32:56,True,False
병철서,dbwj1234,gojeongsig@nate.com,"Amet necessitatibus voluptatem officia. Occaecati laboriosam sapiente.
Ducimus quaerat modi laudantium eius. Tempora fugiat laudantium. Similique quasi quidem quos laborum doloribus.",ESFJ,,2024-04-29 10:48:55,True,False
지연김,dbwj1234,migyeongi@yu.com,"Consequatur hic architecto earum voluptatibus excepturi. Minus soluta omnis nisi.
Excepturi est aperiam adipisci vero nesciunt. Sunt a repudiandae ex ratione laborum explicabo sed.",INTJ,,2022-06-03 23:06:09,True,True
숙자김,dbwj1234,jinhoi@hanmail.net,Accusamus debitis dignissimos eum quidem quas. Vero accusamus itaque eaque libero tempora ullam. Eaque hic quas at aliquid ipsum.,INTJ,,2020-11-22 19:00:22,False,False
영길이,dbwj1234,jeongjaheo@yuhanhoesa.com,"Magni saepe exercitationem molestias porro. Aut praesentium beatae occaecati quos ut.
Quo soluta sit ratione esse. A consectetur illum cum. Ea nisi dolore repellendus.",ENFP,,2020-10-08 12:35:59,False,True
정훈이,dbwj1234,yeonggil17@nate.com,"Ut iste illo odit aut at. Incidunt debitis fugit. Consectetur enim voluptates magnam optio.
Dolore perferendis modi excepturi pariatur laboriosam. Eveniet blanditiis delectus laudantium.",ESFJ,,2022-11-21 18:17:33,False,True
정훈송,dbwj1234,imijeong@gmail.com,Soluta expedita voluptates eveniet aspernatur modi. Odio voluptatibus numquam labore aspernatur alias. Similique deserunt a sapiente neque.,ENFJ,,2022-03-22 20:22:42,True,False
춘자황,dbwj1234,jiyeongbag@dreamwiz.com,"Temporibus optio ratione reprehenderit fugiat at vitae sapiente. Doloremque eos consequuntur enim asperiores sunt. Nam sequi fugiat sint.
Cum explicabo quod ad. Quae quas magni.",ISTJ,,2020-12-15 20:42:02,True,True
상현윤,dbwj1234,dohyeongim@live.com,"Ab adipisci quia incidunt dolorem numquam repellendus.
Adipisci ullam laboriosam dolores explicabo temporibus. Hic iure error praesentium repellendus temporibus.",ENFP,,2020-01-11 08:28:28,True,True
아름김,dbwj1234,ecoe@coesini.com,Voluptate nostrum natus voluptates odio odio possimus officiis. Dolores error provident laudantium. Debitis accusantium voluptatem sint expedita doloribus.,,,2023-08-01 08:33:04,False,True
예진박,dbwj1234,hyeonjunjang@ihanbag.org,"Molestiae atque incidunt ipsum.
Aut velit sequi corrupti. Necessitatibus dolorem adipisci.
Vero ad laudantium. Sequi deleniti omnis delectus doloremque temporibus.",INTJ,,2023-09-25 15:30:40,True,True
재호한,dbwj1234,yunseosong@naver.com,Enim ipsum consequatur. Quo tempore quis ipsam placeat.,,,2020-04-06 19:08:39,False,True
영식최,dbwj1234,yeongsig85@daum.net,"Aspernatur tempore dolorem cum fuga.
Facere cupiditate beatae illum facere. Labore suscipit labore ullam doloremque officia minus. Reiciendis sequi explicabo voluptas sunt.",ENTP,,2020-09-07 07:15:51,True,True
지혜이,dbwj1234,seojia@nate.com,"Nam tempore consequatur pariatur fugiat. Doloribus odio ad ad. Et culpa praesentium error. Iusto officiis eveniet iste eos iste.
At ipsum aut occaecati.",ISTJ,,2022-09-22 10:13:01,False,False
현우한,dbwj1234,bca@yu.com,Odio magni esse officia maxime cupiditate. Voluptatibus dolorem reprehenderit laboriosam. Veniam quas nobis.,INTJ,,2021-02-09 00:12:58,False,False
지혜고,dbwj1234,gimeunjeong@yuhanhoesa.net,"Harum voluptates officia hic expedita.
Officia molestias maxime inventore. Asperiores quidem labore eos eius ullam temporibus blanditiis. Odio esse fugiat natus assumenda.",ISTJ,,2023-03-05 02:03:38,True,False
현숙박,dbwj1234,li@naver.com,Ex quae mollitia corporis repellat commodi. Commodi doloremque voluptates voluptas possimus architecto porro.,INTJ,,2020-12-03 07:25:18,False,False
지혜김,dbwj1234,myeongsuggim@gimgimgim.kr,"Neque officia delectus dignissimos ipsam vel doloribus.
Eum voluptatibus maxime laudantium. Enim saepe eum perferendis eveniet at harum.",,,2020-05-14 16:44:47,True,False
미숙노,dbwj1234,misuggweon@daum.net,"Quod animi quis iure similique. Modi amet quae dolorum. Veritatis ex fugiat.
Delectus magnam laborum dicta a libero tempore. Inventore doloribus amet tenetur pariatur.",ISTJ,,2021-05-14 10:45:30,True,True
준호김,dbwj1234,isangho@jusighoesa.com,Excepturi animi velit atque vero ipsa. Perspiciatis sint laborum ipsum voluptatibus architecto quasi a. Consectetur hic dolor saepe animi ullam.,ENFP,,2022-08-09 15:21:49,False,True
성호김,dbwj1234,yejingim@hanmail.net,"Occaecati eligendi sit. Quod dolore reiciendis autem at. Nulla corporis quia.
Sint ea repellat nam temporibus ullam. Fugiat tempore facere odio. Iusto cupiditate est.",,,2020-04-01 00:56:16,False,False
현주류,dbwj1234,ijeonghyi@dreamwiz.com,"Repellendus cupiditate ullam quia. Tempore ullam dolor. Veniam quas quidem alias quidem.
Error optio aperiam nulla ipsam eum eveniet. Blanditiis laboriosam placeat.",ENFP,,2022-03-02 08:50:42,True,True
